,80516,80416,80316,80216,80116,73116,73016,72916,72816,72716,72616,72516,72416,72316,72216,72116,72016,71916,71816,71716,71616,71516,71416,71316,71216,71116,71016,70916,70816,70716,70616,70516,70416,70316,70216,70116,63016,62916,62816,62716,62616,62516,62416,62316,62216,62116,62016,61916,61816
slots,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
quick hit slots fruit machine,75989,-1,75734,75606,-1,-1,-1,74962,74812,-1,74443,74334,-1,-1,73891,73728,73609,73457,73296,-1,-1,72815,-1,72476,72306,72147,-1,-1,71637,-1,71321,71141,70914,70796,70489,-1,-1,-1,69855,69759,-1,-1,69213,69108,68962,68791,68618,-1,68291
seven knights,242473,-1,241893,241673,-1,-1,-1,240293,239982,-1,239252,238927,-1,-1,237263,236171,230696,230269,229808,-1,-1,228133,-1,227039,226547,226082,-1,-1,223972,-1,219103,218894,218519,218310,217775,-1,-1,-1,216060,215783,-1,-1,214342,213926,213354,212854,212360,-1,211293
marvel avengers academy,177800,-1,175479,175267,-1,-1,-1,173940,173695,-1,173132,172827,-1,-1,171609,171117,170721,170413,169994,-1,-1,168675,-1,167826,167400,167001,-1,-1,165485,-1,164705,164349,163958,163749,163044,-1,-1,-1,161070,160828,-1,-1,159299,158745,158419,158208,158022,-1,157609
bingo blitz,377435,-1,377097,376928,-1,-1,-1,376190,375992,-1,375603,375426,-1,-1,374919,374672,374500,374311,374159,-1,-1,373636,-1,373298,373110,372914,-1,-1,372334,-1,371990,371822,371624,371533,371243,-1,-1,-1,370410,370251,-1,-1,369374,369188,369000,368786,368566,-1,368337
slots free casino house of fun,438839,-1,437363,436750,-1,-1,-1,434320,433770,-1,432532,431977,-1,-1,429693,429156,428525,427882,427050,-1,-1,425011,-1,423622,422797,421992,-1,-1,419421,-1,417623,416463,415811,415533,414843,-1,-1,-1,412008,411775,-1,-1,410705,410411,410062,409689,409289,-1,408697
scatter slots,318454,-1,317382,316923,-1,-1,-1,314619,314058,-1,312999,312447,-1,-1,310713,310122,309629,309118,308415,-1,-1,306399,-1,304949,304087,303462,-1,-1,301186,-1,299762,298967,298041,297580,296056,-1,-1,-1,292673,292088,-1,-1,288817,287875,286998,286188,285329,-1,284008
farm heroes saga,6601961,-1,6599032,6597547,-1,-1,-1,6590168,6588327,-1,6585054,6583646,-1,-1,6576513,6574180,6572325,6570789,6568029,-1,-1,6560105,-1,6555320,6552475,6550196,-1,-1,6544803,-1,6540764,6538494,6536360,6535856,6532543,-1,-1,-1,6522969,6521103,-1,-1,6512129,6509590,6507163,6505207,6502742,-1,6499451
last empire-war z,482409,-1,480315,479127,-1,-1,-1,473598,471811,-1,469265,467456,-1,-1,463779,461610,459511,458674,457679,-1,-1,453403,-1,451158,448864,447686,-1,-1,444338,-1,442058,440214,438917,438273,436469,-1,-1,-1,428931,428434,-1,-1,424876,423248,422401,421786,420957,-1,419860
cookie jam,735434,-1,734398,733702,-1,-1,-1,730667,730069,-1,728918,727954,-1,-1,726912,726544,726171,725887,725562,-1,-1,724641,-1,724021,723643,723341,-1,-1,722311,-1,721848,721524,721279,721147,720691,-1,-1,-1,719442,719183,-1,-1,718122,717833,717400,717077,716746,-1,716290
