,09-Aug,08-Aug,07-Aug,06-Aug,05-Aug,04-Aug,03-Aug,02-Aug,01-Aug,31-Jul,30-Jul,29-Jul,28-Jul,27-Jul,26-Jul,25-Jul,24-Jul,23-Jul,22-Jul,21-Jul,20-Jul,19-Jul,18-Jul,17-Jul,16-Jul,15-Jul,14-Jul,13-Jul,12-Jul,11-Jul,10-Jul,09-Jul,08-Jul,07-Jul,06-Jul,05-Jul,04-Jul,03-Jul,02-Jul,01-Jul,30-Jun,29-Jun,28-Jun,27-Jun,26-Jun,25-Jun,24-Jun,23-Jun,22-Jun,21-Jun,20-Jun,19-Jun,18-Jun
taptycoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
bingo90livehd+freeslots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
subwaysurfers,11,9,9,9,8,10,9,10,10,9,10,9,7,9,10,12,9,8,9,6,5,10,10,11,9,9,12,11,11,12,10,6,0,0,0,10,13,12,9,13,9,9,13,10,13,9,12,16,8,9,12,10,6
mmxhillclimb,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,7,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
slotsfavorites,0,0,8,0,12,2,0,2,4,2,0,2,0,1,0,4,0,5,13,1,0,0,0,0,4,40,2,0,7,3,1,0,0,0,0,0,1,7,0,2,2,0,8,3,0,0,0,0,0,4,5,0,3
superfleets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kingofthieves,0,1,1,2,3,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,1,1,3,1,0,0,0,2,2,5,2,2,2,2,3,2,2,3,1,0,0,0,0,0,0
crusadersquest,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
golfstar,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
clashoflords,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kingsempire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
kritika,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,4,1,0,2,0,1,4,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,3,0,0,0,1,2,0,0,3,0
sniper3dassassin,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
dungeonhunter5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
xspoker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
valkyriecrusade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
astronest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is-itlovematt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
stargirlfashioncocoppa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diamonddiggersaga,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
willywonkaslotsfreecasino,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forsakenworldmobilemmorpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slotbonanza-freecasinoslots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
zombiecastaways,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
mynba2k16,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,5,1,0,7
villagelife,1,0,0,0,0,0,1,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,2,0,2,0,1,1,0,1,1,4,4,0,0,0,0,0,0,0
revengeofsultans,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
watersplash,0,0,0,0,0,0,2,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
wgtbaseballmlb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vainglory,2,4,4,4,2,4,1,2,1,1,5,26,30,18,3,4,2,0,1,2,0,5,1,2,1,6,1,0,3,5,5,6,0,0,0,1,2,6,7,4,1,6,1,7,8,4,11,23,56,6,1,5,5
bloonstdbattles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,2
phantomofthekill,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
motorworldcarfactory,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mahjongtreasurequest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
warages,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
legendofimmortal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slotsfree,51,57,48,70,128,88,47,63,72,139,100,119,15,70,107,160,131,170,109,83,61,91,157,144,160,35,67,31,187,80,132,25,0,0,4,68,132,127,78,63,13,30,193,121,43,68,96,45,103,48,161,147,72
heroesofchaos,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
dailycelebritycrossword,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
castlestory,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
wordtrekbrainpuzzlegame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ninjaturtles,2,3,2,4,10,0,0,1,0,0,4,4,4,1,0,0,2,0,0,0,2,1,2,5,2,0,0,0,2,2,3,1,0,0,0,0,0,1,0,1,1,1,0,2,1,1,1,1,9,1,3,0,0
fruitnibblers,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
sailormoondrops,15,54,36,35,31,67,49,32,17,22,30,25,25,16,27,25,22,17,19,18,25,18,41,38,14,20,31,27,58,31,53,37,0,0,1,57,19,16,35,48,22,44,25,26,34,20,53,17,19,17,16,28,32
high5casino,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
legendofthecryptids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luckywincasino-freeslots,0,0,0,0,0,0,0,1,3,0,0,0,0,0,4,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,2,5,0,3,5,0,0,0,0,0,0,0,1,9,0
wondertactics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
despicableme,0,0,0,1,2,2,1,2,1,1,1,4,1,2,2,1,4,3,1,2,1,1,1,1,0,0,2,0,2,0,0,0,0,0,0,6,1,1,0,0,0,0,0,1,1,1,5,1,2,2,1,0,3
fullhousecasino-luckyslots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vivaslots!freecasinoslots,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
heroeswill,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,2,0,3,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,4,0,1,0
pocketthreekingdoms,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
pocketknights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zyngapokerclassictxholdem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kendall&kylie,270,316,257,240,264,278,237,271,269,258,299,390,314,305,318,315,263,307,335,314,363,331,397,541,768,837,453,444,444,479,504,236,0,0,34,315,322,508,649,860,345,406,355,359,395,403,454,397,415,429,395,604,802
pioneertales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
olympusrising,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
mlbperfectinning16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
islandexperiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plagueinc.,15,14,16,15,19,19,17,18,20,14,11,17,41,51,49,41,46,45,49,44,11,22,21,18,14,16,22,21,18,24,17,10,0,0,0,15,10,11,12,14,20,14,11,11,13,12,12,16,15,15,13,12,16
foodstreet,9,16,4,3,3,4,3,4,3,6,0,2,0,1,2,5,3,4,7,4,6,8,8,4,3,5,5,6,6,5,1,3,0,0,0,5,0,1,1,11,51,11,5,3,4,5,0,5,0,5,7,1,6
bejeweledstars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
dragonstory,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,4,1,0,3,3,0,0,0,0,2,0,2,0,1,0,0,0,0,0,1,1,36,0,0,1,0,2
warlords,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,11,0,1,0,2,0,0,0,0,0,0,0,2,0,4,0,0,0
farmville,3,5,0,1,0,3,1,2,11,0,1,1,1,0,7,5,5,3,2,3,4,2,3,1,1,3,7,6,20,4,0,0,0,0,1,0,2,2,1,1,4,10,3,3,3,1,4,7,0,3,2,0,4
bingoshowdownfreelivegame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spartanwars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deerhunter2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,0,0,1,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
eternalarena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
darksword,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,1,0
heroesofcamelot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ageofships,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
empirewar,3,2,3,0,5,1,3,3,4,3,1,2,4,3,4,2,2,1,2,0,1,3,5,4,3,1,2,2,3,4,4,0,0,0,0,2,5,1,1,0,1,3,3,2,1,3,5,1,0,2,10,3,2
pocketmortys,1,0,0,1,0,1,2,2,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,2,0,0,2,2,1,0,0,0,0,0,4,1,0,1,1
monstertail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dungeonlink,0,0,0,0,0,0,0,0,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,0,0
juggernautwars,0,0,0,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
aliceinthemirrorsofalbion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kitchenscramble,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bingo!,33,40,62,52,43,42,59,73,74,109,162,67,43,57,37,43,50,73,76,51,54,60,69,57,50,61,58,96,71,68,73,42,0,0,16,108,107,156,178,109,89,89,121,85,90,82,90,155,80,114,173,253,476
fantasychronicles,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
slotmachinesbyigg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
romanticdiary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
digimonheroes!,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0
civilizationofempires,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bowlingking,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
slotsvacation,0,0,0,0,3,8,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
twodots,7,9,4,0,2,6,1,0,3,0,8,1,8,3,0,1,3,9,20,6,31,0,0,1,2,3,8,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,2,1,1,0,4,2,38,0,0,0,1
asphalt8,0,3,0,16,4,2,4,3,4,5,20,2,8,0,2,2,1,1,3,0,1,2,2,10,2,1,1,2,0,1,2,0,0,0,0,4,2,1,0,2,1,2,1,0,0,2,1,2,4,2,2,2,2
paradiseisland2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,22,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
shufflecats,2,0,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pesclubmanager,0,0,0,0,0,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,10,0,0
wordbrain,2,1,0,2,1,1,3,1,1,2,2,1,1,1,2,8,3,0,20,4,5,6,3,3,4,1,2,4,2,1,2,2,0,0,0,4,2,3,0,3,1,0,1,2,2,0,2,5,4,6,9,1,5
royalrevolt2,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,2,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
fairytail,0,5,3,3,0,1,1,1,1,2,1,11,2,1,0,1,1,1,1,0,2,1,5,2,0,0,0,3,3,3,0,0,0,0,0,0,7,0,0,1,0,1,0,3,1,1,1,1,1,4,5,6,3
dragonstorybig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
terraria.,0,2,3,2,2,1,4,1,4,4,1,3,3,4,1,11,2,0,3,5,4,7,1,4,4,1,5,6,2,7,2,3,0,0,0,4,5,6,3,4,5,0,3,3,5,4,5,5,5,3,4,8,4
gemsofwar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
bubblecoco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
darknessreborn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hillclimbracing,6,1,4,15,29,1,11,69,33,15,4,2,6,1,2,3,1,13,0,29,15,32,37,9,4,7,4,5,4,12,23,0,0,0,13,4,15,2,6,7,0,17,15,13,3,5,20,12,1,3,6,1,19
darksummoner,23,44,52,34,50,56,65,51,35,36,44,53,49,47,45,34,39,43,60,50,63,52,92,91,113,123,124,173,179,83,84,41,0,0,1,70,85,109,142,140,133,182,139,198,101,83,128,179,143,175,250,286,627
gameofsurvivors,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
angrybirdsepicrpg,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
hungrybabiesmania,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
neomonsters,9,12,11,11,13,12,15,11,16,10,8,11,12,12,16,18,12,12,16,11,11,15,11,10,11,11,12,12,10,12,12,4,0,0,0,9,7,6,5,6,8,6,5,5,4,4,5,8,7,5,5,3,6
underworldempire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wgt,1,1,1,0,1,1,3,1,3,1,0,0,2,2,1,2,3,0,1,1,3,3,2,1,2,3,3,11,19,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
seekersnotes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
shallwedatewizardessheart+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crazycakeswap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fantasyforest,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
pathfinderadventures,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
avakinlife,0,0,0,2,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,3,1,2,0,0,0,0,0,1,1,0,2,1,1,1,0,0,1,1,0,1,1,0,3
slotsbillionaire95%payouts!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bloodyroads,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
decisivebattlepacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fifa15ultimateteam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
muorigin,2,0,1,0,0,0,1,1,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
