,09-Aug,08-Aug,07-Aug,06-Aug,05-Aug,04-Aug,03-Aug,02-Aug,01-Aug,31-Jul,30-Jul,29-Jul,28-Jul,27-Jul,26-Jul,25-Jul,24-Jul,23-Jul,22-Jul,21-Jul,20-Jul,19-Jul,18-Jul,17-Jul,16-Jul,15-Jul,14-Jul,13-Jul,12-Jul,11-Jul,10-Jul,09-Jul,08-Jul,07-Jul,06-Jul,05-Jul,04-Jul,03-Jul,02-Jul,01-Jul,30-Jun,29-Jun,28-Jun,27-Jun,26-Jun,25-Jun,24-Jun,23-Jun,22-Jun,21-Jun,20-Jun,19-Jun,18-Jun
startrektimelines,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,4,1,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,1,1,3,0,0,0,0,0,0,1,1
monsterlegends,0,0,0,0,1,0,0,0,0,1,0,1,1,0,2,0,1,0,1,0,0,0,1,0,9,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
kingdomheartsunchained,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,2,0,0,0,2,1,0,0,0,0,1,0,0,0,2,1,0,3,0,0,1,5,1,2,4,6,14
doubleucasino,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
dragonsoul,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,2,0,1,0,0,0,1,0,1
gummydrop!,0,1,0,1,0,0,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0
heartofvegasslotscasino,1,0,0,0,1,3,2,0,1,0,1,2,0,1,3,1,0,2,1,2,0,0,1,0,0,0,3,0,0,35,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3
township,7,13,9,7,7,9,15,25,14,15,22,21,15,17,14,6,8,9,19,14,7,9,28,7,19,10,11,14,14,12,9,5,0,0,0,11,14,14,11,11,9,13,16,14,11,11,11,12,17,7,11,9,8
dragonballzdokkanbattle,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,6,1,1,2,2,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0
simcitybuildit,4,3,3,3,3,4,2,3,4,2,1,2,1,1,1,1,2,1,0,1,1,1,2,1,0,1,1,1,2,1,0,0,0,0,0,1,2,1,1,1,1,1,3,14,1,3,4,5,7,9,5,5,6
magicrush,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,3
